epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7306,1.28521,1.97035,1.40253,0.492,0.35671,0.31884,0.14214,1.81254,2.94348,2.13641,0.000660066,0.000660066,0.000660066
2,41.1014,1.44242,1.33144,1.52074,0.34044,0.63597,0.41952,0.19345,1.75876,4.16911,2.09935,0.00128295,0.00128295,0.00128295
3,60.1246,1.49834,1.37379,1.56604,0.75789,0.75074,0.79174,0.43152,1.4848,1.30844,1.57904,0.00186183,0.00186183,0.00186183
4,79.0477,1.47496,1.28415,1.54188,0.68928,0.65739,0.72561,0.39129,1.55622,1.33152,1.58194,0.001802,0.001802,0.001802
5,97.8404,1.37054,1.1813,1.47146,0.81312,0.70807,0.79799,0.48412,1.40201,1.20259,1.44089,0.001736,0.001736,0.001736
6,116.842,1.33938,1.13863,1.44008,0.82834,0.83696,0.88209,0.51537,1.4035,0.94105,1.48511,0.00167,0.00167,0.00167
7,135.758,1.27618,1.06222,1.41376,0.85524,0.70843,0.81159,0.50161,1.36228,1.13942,1.43741,0.001604,0.001604,0.001604
8,154.544,1.20539,0.95392,1.33712,0.91522,0.80728,0.89186,0.53511,1.36567,0.92417,1.39031,0.001538,0.001538,0.001538
9,173.515,1.17934,0.93063,1.32295,0.91491,0.84797,0.92507,0.59536,1.21544,0.79967,1.29891,0.001472,0.001472,0.001472
10,192.421,1.15006,0.91597,1.31386,0.92562,0.90602,0.95814,0.63727,1.16448,0.70766,1.23484,0.001406,0.001406,0.001406
11,211.254,1.11049,0.85187,1.28633,0.95865,0.91221,0.96526,0.65511,1.12743,0.66369,1.20301,0.00134,0.00134,0.00134
12,230.182,1.09174,0.84646,1.27675,0.90988,0.92965,0.95964,0.63794,1.14377,0.68197,1.25048,0.001274,0.001274,0.001274
13,248.998,1.07433,0.81342,1.26422,0.94418,0.94165,0.97566,0.65944,1.11272,0.64199,1.21753,0.001208,0.001208,0.001208
14,268.022,1.05743,0.81127,1.25805,0.9629,0.94487,0.97171,0.66312,1.11893,0.61249,1.17745,0.001142,0.001142,0.001142
15,286.957,1.04169,0.78477,1.23294,0.94848,0.94613,0.97348,0.66884,1.11437,0.61305,1.21328,0.001076,0.001076,0.001076
16,305.864,1.01276,0.74762,1.22224,0.97553,0.93914,0.97734,0.68695,1.06128,0.56928,1.14713,0.00101,0.00101,0.00101
17,324.819,0.98308,0.72757,1.2033,0.97535,0.93148,0.97603,0.67387,1.08718,0.5726,1.14664,0.000944,0.000944,0.000944
18,343.563,0.97332,0.70482,1.19143,0.98311,0.93576,0.98017,0.69779,1.04989,0.55347,1.13081,0.000878,0.000878,0.000878
19,362.505,0.96616,0.70175,1.19499,0.97498,0.95289,0.978,0.69174,1.05449,0.5483,1.14985,0.000812,0.000812,0.000812
20,381.34,0.94837,0.68022,1.19049,0.98204,0.9368,0.98544,0.70265,1.04039,0.52352,1.14491,0.000746,0.000746,0.000746
21,401.263,0.82166,0.48907,1.08809,0.98073,0.95289,0.9867,0.7072,1.01484,0.52232,1.12369,0.00068,0.00068,0.00068
22,420.221,0.8061,0.47112,1.09121,0.97939,0.96146,0.98626,0.71729,0.9973,0.50904,1.1267,0.000614,0.000614,0.000614
23,439.043,0.79631,0.4631,1.05659,0.9852,0.94861,0.98295,0.71885,1.00255,0.50069,1.09533,0.000548,0.000548,0.000548
24,457.881,0.77982,0.44578,1.06008,0.97456,0.95931,0.98788,0.72364,0.96544,0.50651,1.08918,0.000482,0.000482,0.000482
25,476.735,0.73758,0.42718,1.03109,0.97971,0.9636,0.98955,0.73113,0.97173,0.46955,1.08948,0.000416,0.000416,0.000416
26,495.767,0.72267,0.40305,1.02559,0.98247,0.95931,0.98658,0.73722,0.95538,0.46744,1.06612,0.00035,0.00035,0.00035
27,514.57,0.7086,0.39246,1.00787,0.97021,0.97635,0.9893,0.73499,0.96356,0.45148,1.08164,0.000284,0.000284,0.000284
28,533.212,0.70438,0.38516,1.00564,0.97627,0.96921,0.9879,0.74019,0.94205,0.45524,1.06416,0.000218,0.000218,0.000218
29,552.033,0.67112,0.36862,0.99161,0.98252,0.97216,0.98989,0.75186,0.92594,0.42852,1.05687,0.000152,0.000152,0.000152
30,570.847,0.66096,0.36192,0.98278,0.97704,0.9743,0.98944,0.75465,0.92577,0.4302,1.05846,8.6e-05,8.6e-05,8.6e-05
