epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2337,1.27979,2.25358,1.68384,0.54445,0.52896,0.50966,0.28516,1.6429,2.45495,2.32477,0.000237201,0.000237201,0.000237201
2,97.3042,1.32105,1.71129,1.67379,0.57485,0.47011,0.49089,0.25296,1.72067,2.2905,2.37439,0.000465792,0.000465792,0.000465792
3,143.094,1.31662,1.63754,1.66997,0.49581,0.51833,0.52943,0.29662,1.66053,2.14929,2.33833,0.000684959,0.000684959,0.000684959
4,189.228,1.25507,1.50714,1.63184,0.70314,0.57183,0.66006,0.38673,1.53814,1.8272,2.09187,0.000671588,0.000671588,0.000671588
5,234.208,1.19678,1.38467,1.57571,0.64449,0.6636,0.70631,0.40665,1.5673,1.66974,2.11464,0.000657451,0.000657451,0.000657451
6,279.634,1.17443,1.26942,1.55429,0.79725,0.59639,0.73029,0.45212,1.51834,1.56252,2.05967,0.000643314,0.000643314,0.000643314
7,325.323,1.11991,1.18854,1.51204,0.7007,0.67618,0.76768,0.46709,1.46891,1.48743,2.0439,0.000629177,0.000629177,0.000629177
8,371.067,1.11057,1.11395,1.50453,0.82322,0.68892,0.7851,0.48201,1.50897,1.40344,1.99416,0.00061504,0.00061504,0.00061504
9,416.319,1.07026,1.0684,1.47582,0.79358,0.7165,0.8155,0.5002,1.45907,1.36803,1.97797,0.000600902,0.000600902,0.000600902
10,462.003,1.04422,1.03772,1.45189,0.74866,0.68302,0.74612,0.4749,1.42535,1.54648,1.93385,0.000586765,0.000586765,0.000586765
11,506.593,1.04429,1.00164,1.44987,0.81299,0.73998,0.79216,0.52427,1.38785,1.34732,1.87749,0.000572628,0.000572628,0.000572628
12,552.321,1.02395,0.96479,1.43746,0.77578,0.70866,0.78634,0.52543,1.36502,1.30338,1.90689,0.000558491,0.000558491,0.000558491
13,598.264,0.99565,0.92151,1.41111,0.80874,0.76228,0.81905,0.53273,1.38099,1.12297,1.85507,0.000544354,0.000544354,0.000544354
14,643.407,0.99177,0.90675,1.41276,0.8772,0.79033,0.86303,0.584,1.30547,1.02667,1.77213,0.000530216,0.000530216,0.000530216
15,688.865,0.97196,0.84065,1.39551,0.79859,0.77429,0.81172,0.55815,1.29513,1.20438,1.79475,0.000516079,0.000516079,0.000516079
16,734.242,0.95589,0.84488,1.3909,0.8029,0.8016,0.84093,0.57062,1.30542,1.08113,1.81047,0.000501942,0.000501942,0.000501942
17,779.686,0.9395,0.81657,1.37705,0.8228,0.79121,0.85789,0.59328,1.25845,0.97525,1.74357,0.000487805,0.000487805,0.000487805
18,824.866,0.93855,0.80234,1.37472,0.84284,0.81463,0.8662,0.59085,1.32489,1.01704,1.82154,0.000473668,0.000473668,0.000473668
19,869.504,0.91628,0.775,1.36152,0.82744,0.79074,0.84907,0.59342,1.26784,1.06134,1.75151,0.00045953,0.00045953,0.00045953
20,914.705,0.89949,0.74725,1.34696,0.82128,0.82092,0.85543,0.59576,1.2606,1.00972,1.74045,0.000445393,0.000445393,0.000445393
21,960.472,0.89429,0.72635,1.33921,0.85859,0.80301,0.86351,0.59993,1.25562,0.93417,1.72758,0.000431256,0.000431256,0.000431256
22,1006.29,0.89764,0.72395,1.34133,0.84628,0.81316,0.85393,0.58239,1.31199,1.04823,1.8017,0.000417119,0.000417119,0.000417119
23,1051.12,0.86354,0.70802,1.32137,0.80862,0.79736,0.82686,0.58895,1.23659,1.12635,1.74263,0.000402982,0.000402982,0.000402982
24,1095.64,0.86283,0.70217,1.32045,0.83092,0.82751,0.86714,0.6151,1.21667,1.0032,1.72787,0.000388844,0.000388844,0.000388844
25,1141.36,0.85056,0.66905,1.31355,0.80753,0.83485,0.86882,0.6194,1.19832,0.98949,1.67262,0.000374707,0.000374707,0.000374707
26,1187.44,0.84196,0.66124,1.30548,0.8108,0.84117,0.85682,0.61685,1.20584,0.95081,1.69656,0.00036057,0.00036057,0.00036057
27,1232.32,0.83798,0.64717,1.30663,0.86316,0.8286,0.88497,0.62376,1.20408,0.97354,1.69114,0.000346433,0.000346433,0.000346433
28,1277.4,0.8262,0.64154,1.28831,0.85211,0.78174,0.85894,0.61437,1.19249,1.00461,1.69292,0.000332296,0.000332296,0.000332296
29,1322.56,0.82065,0.62434,1.28937,0.84685,0.83862,0.87514,0.62156,1.20627,0.92772,1.70236,0.000318158,0.000318158,0.000318158
30,1367.78,0.807,0.61257,1.27924,0.86506,0.83274,0.88067,0.63975,1.17853,0.901,1.65892,0.000304021,0.000304021,0.000304021
