epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.953,0.9611,2.21531,1.2963,0.52877,0.48733,0.51196,0.35966,0.92138,1.08741,1.26298,0.00333114,0.00333114,0.00333114
2,426.774,0.95357,1.47059,1.2757,0.55497,0.5336,0.55099,0.37283,0.96458,1.06152,1.30125,0.0065985,0.0065985,0.0065985
3,629.377,1.05281,1.5957,1.34501,0.47738,0.41881,0.42855,0.26076,1.16875,1.34212,1.50065,0.00979985,0.00979985,0.00979985
4,830.007,1.07615,1.64675,1.37058,0.52442,0.5045,0.51694,0.35256,1.00266,1.15237,1.3504,0.009703,0.009703,0.009703
5,1030.48,1.01471,1.46766,1.32935,0.69599,0.53167,0.60116,0.41459,0.96741,0.99287,1.2908,0.009604,0.009604,0.009604
6,1231.47,0.96747,1.33872,1.29564,0.60459,0.60805,0.64111,0.45852,0.917,0.89855,1.26678,0.009505,0.009505,0.009505
7,1432.4,0.93694,1.2469,1.2723,0.6738,0.62972,0.67789,0.49836,0.86606,0.82817,1.22692,0.009406,0.009406,0.009406
8,1633.24,0.90673,1.17509,1.24989,0.72655,0.64267,0.71213,0.53032,0.84256,0.77354,1.21115,0.009307,0.009307,0.009307
9,1834.07,0.88379,1.10688,1.23707,0.75518,0.68863,0.74921,0.56767,0.8158,0.70796,1.17373,0.009208,0.009208,0.009208
10,2035.83,0.86782,1.06313,1.22629,0.76866,0.70635,0.77236,0.58974,0.7905,0.66825,1.15513,0.009109,0.009109,0.009109
11,2236.9,0.8484,1.0202,1.21513,0.75216,0.75884,0.80284,0.6179,0.78226,0.62708,1.14814,0.00901,0.00901,0.00901
12,2438.01,0.83467,0.98129,1.20259,0.76123,0.748,0.79748,0.62385,0.7586,0.60918,1.13055,0.008911,0.008911,0.008911
13,2638.92,0.83113,0.94936,1.19812,0.81761,0.74899,0.81578,0.64174,0.75279,0.58557,1.1188,0.008812,0.008812,0.008812
14,2840.04,0.81249,0.9224,1.19002,0.83355,0.76813,0.84199,0.66394,0.73853,0.55883,1.1109,0.008713,0.008713,0.008713
15,3041.36,0.80657,0.89339,1.18405,0.82158,0.78535,0.84271,0.67576,0.72766,0.55555,1.0972,0.008614,0.008614,0.008614
16,3242.57,0.79792,0.87231,1.17485,0.85608,0.78583,0.85417,0.69299,0.70501,0.52642,1.08723,0.008515,0.008515,0.008515
17,3444.18,0.78799,0.85416,1.17057,0.86556,0.79916,0.87059,0.70434,0.71254,0.50848,1.09072,0.008416,0.008416,0.008416
18,3645.88,0.78324,0.83418,1.16521,0.85904,0.80259,0.87118,0.70884,0.70191,0.49268,1.08769,0.008317,0.008317,0.008317
19,3847.41,0.77572,0.81787,1.16363,0.87448,0.82694,0.88468,0.7232,0.68656,0.47517,1.0696,0.008218,0.008218,0.008218
20,4048.79,0.76888,0.79848,1.15724,0.86925,0.83246,0.88776,0.72913,0.68286,0.46047,1.06934,0.008119,0.008119,0.008119
21,4250.59,0.7589,0.78881,1.15185,0.85644,0.85197,0.89215,0.73406,0.67682,0.45861,1.06861,0.00802,0.00802,0.00802
22,4452.66,0.75489,0.77344,1.15007,0.88883,0.82612,0.88861,0.73421,0.66417,0.4516,1.0553,0.007921,0.007921,0.007921
23,4654.54,0.74598,0.75424,1.14268,0.8853,0.84129,0.89923,0.74308,0.66112,0.44315,1.04965,0.007822,0.007822,0.007822
24,4856.41,0.74033,0.73984,1.14089,0.89013,0.84646,0.90135,0.75191,0.65429,0.4234,1.0431,0.007723,0.007723,0.007723
25,5058.3,0.73618,0.72915,1.13849,0.90168,0.84025,0.90783,0.76193,0.64661,0.41733,1.03923,0.007624,0.007624,0.007624
26,5260.57,0.73288,0.71596,1.131,0.90277,0.8521,0.90675,0.76177,0.64732,0.41541,1.0399,0.007525,0.007525,0.007525
27,5462.19,0.72894,0.7145,1.13304,0.91561,0.84484,0.9089,0.76286,0.63969,0.41441,1.03692,0.007426,0.007426,0.007426
28,5663.96,0.72673,0.7049,1.12907,0.89967,0.85068,0.90796,0.7642,0.63638,0.40752,1.03485,0.007327,0.007327,0.007327
29,5865.85,0.717,0.69205,1.12303,0.89262,0.86467,0.91446,0.7733,0.63184,0.40331,1.03042,0.007228,0.007228,0.007228
30,6067.66,0.71606,0.68667,1.12371,0.89358,0.87924,0.91574,0.7731,0.62944,0.40102,1.02802,0.007129,0.007129,0.007129
31,6269.04,0.70462,0.66759,1.11635,0.90451,0.87029,0.91572,0.77641,0.62324,0.39769,1.02607,0.00703,0.00703,0.00703
32,6470.58,0.70624,0.66334,1.1171,0.91278,0.87134,0.91765,0.78068,0.61891,0.39458,1.02179,0.006931,0.006931,0.006931
33,6672.42,0.69937,0.65122,1.11273,0.90944,0.87636,0.92024,0.78356,0.61513,0.38958,1.01874,0.006832,0.006832,0.006832
34,6874.17,0.69425,0.64983,1.11446,0.89948,0.88548,0.91891,0.78533,0.61246,0.3914,1.01773,0.006733,0.006733,0.006733
35,7076.13,0.6931,0.64104,1.11073,0.89806,0.88258,0.92017,0.78868,0.6101,0.38756,1.0161,0.006634,0.006634,0.006634
36,7278.02,0.69167,0.63187,1.10983,0.8986,0.88451,0.92135,0.79133,0.60556,0.38392,1.01215,0.006535,0.006535,0.006535
37,7479.88,0.68497,0.62945,1.10597,0.9039,0.88552,0.92361,0.79329,0.60191,0.38092,1.00863,0.006436,0.006436,0.006436
38,7682.09,0.67882,0.61747,1.10196,0.92053,0.87128,0.92424,0.79424,0.59996,0.3775,1.00788,0.006337,0.006337,0.006337
39,7884.05,0.67963,0.61361,1.09893,0.90265,0.88756,0.9255,0.79507,0.59961,0.37514,1.00712,0.006238,0.006238,0.006238
40,8086.19,0.6751,0.6074,1.09802,0.92349,0.86736,0.92569,0.79524,0.59764,0.37266,1.00672,0.006139,0.006139,0.006139
41,8288.21,0.66905,0.59764,1.09452,0.92308,0.87066,0.92664,0.79644,0.59601,0.36953,1.00544,0.00604,0.00604,0.00604
42,8490.49,0.66665,0.59865,1.09286,0.91311,0.87889,0.92775,0.7995,0.5955,0.36685,1.00472,0.005941,0.005941,0.005941
43,8692.72,0.66323,0.58675,1.09267,0.91708,0.87897,0.92844,0.80021,0.59413,0.36483,1.00329,0.005842,0.005842,0.005842
44,8894.94,0.66127,0.58702,1.09034,0.91118,0.88696,0.93009,0.80101,0.59326,0.36492,1.00282,0.005743,0.005743,0.005743
45,9096.87,0.65537,0.57617,1.0847,0.91921,0.87995,0.92984,0.80127,0.59177,0.36392,1.00174,0.005644,0.005644,0.005644
46,9299.22,0.65762,0.5773,1.08645,0.91821,0.88359,0.93059,0.80199,0.58991,0.36272,1.00035,0.005545,0.005545,0.005545
47,9501.41,0.65324,0.56671,1.08207,0.91897,0.88566,0.93084,0.80289,0.58806,0.362,0.99855,0.005446,0.005446,0.005446
48,9703.85,0.64387,0.55597,1.07666,0.92037,0.8852,0.93144,0.8042,0.58718,0.36191,0.99767,0.005347,0.005347,0.005347
49,9906.16,0.63843,0.55229,1.07647,0.9161,0.88865,0.93171,0.80399,0.58605,0.36095,0.9966,0.005248,0.005248,0.005248
50,10108.2,0.6434,0.5495,1.0774,0.90989,0.89317,0.93175,0.80489,0.5846,0.36003,0.99547,0.005149,0.005149,0.005149
51,10310.5,0.63938,0.54955,1.07661,0.90924,0.89599,0.93224,0.80574,0.58359,0.35992,0.99467,0.00505,0.00505,0.00505
52,10513.4,0.6373,0.54242,1.07477,0.91439,0.8931,0.93218,0.80678,0.58246,0.35917,0.99444,0.004951,0.004951,0.004951
53,10715.5,0.63064,0.53582,1.07156,0.91973,0.89087,0.93255,0.80784,0.58137,0.35727,0.99433,0.004852,0.004852,0.004852
54,10918,0.62902,0.53459,1.07106,0.91949,0.89103,0.93248,0.80841,0.58023,0.35637,0.99397,0.004753,0.004753,0.004753
